sender,subject,cleaned_body
Alison <noreply@us-skills.alison.com>,"💸 SOHAM, want real wealth? Think long-term.",firstname want real wealth think long term learn the skills needed to save money for the long term view in web browser share on social my dashboard course categories null connect with us on social media no longer want to receive emails from alison simply unsubscribe level one building galway technology park parkmore galway ireland 2025 alison
Groww Trading Bulletin <noreply@groww.in>,"Nifty in consolidation, ATM IV up 6% & more  — Groww Trading Bulletin",soham manojkumar gangurde your daily trading newsletter is here groww trading bulletin30 july 2025nifty 5024 855 10 33 95 1 day 15 min timeframenifty opened flat and then gained till 24 890 levels the exact resistance mentioned yesterday post this resistance it fell till 24 770 levels and took support around 10 45 am it rose again and faced resistance around the same level 24 888 post that it consolidated throughout the day eventually closing near 24 850 levels levels to watch for tomorrow 24 902 25 006 upside and 24 772 downside 4 hrs timeframeon the 4 hour timeframe nifty shows signs of consolidation until 24 645 on the downside and 24 959 on the upside is broken this can be a very tight range the last candle on this timeframe is a gravestone doji which indicates some bearishness on the daily timeframe the chart shows some possibilities of a recovery till 25 600 levels but there are a lot of resistance levels in between 25 000 25 219 while 24 600 is a major level on this timeframe due to a trendline coming from few previous swing lows global markets s p 500 closed flat snapping its six day winning streak investors digested mixed earnings reports and awaited further economic data inflation concerns were offset by strong corporate results keeping the market largely unchanged nikkei 225 was flat today with market participants taking a cautious approach after recent gains as investors waited for further catalysts kospi gained today driven by strong performance in semiconductor stocks and foreign buying leading to a positive session despite some sectoral divergence hang seng fell slightly today pressured by declines in chinese tech stocks and ongoing policy concerns dax rose today buoyed by positive earnings reports and improving investor sentiment amid easing trade tensions options data insightsnifty 50strong support at 24 800 strong put oi accumulation is visible at the 24 800 strike indicating solid support around this level as traders bet on downside protection resistance at 24 900 a sharp call oi buildup at the 24 900 strike highlights stiff resistance with sellers actively defending this zone rangebound near 24 850 with almost similar oi on both calls and puts at 24 850 nifty may remain rangebound in the immediate term unless a breakout occurs pcr at 0 78 the put call ratio of 0 78 points to a neutral to bearish bias while put writers are present at key lower levels call writers have the upper hand at higher strikes usually a put call ratio of 1 is neutral 0 5 suggests an oversold market and 1 5 indicates an overbought market india vix and nifty volatilityindia vix fell to 11 21 reflecting a 2 78 dip suggesting very low short term volatility historically india vix ranges between 12 and 25 levels above 20 indicate higher volatility and market stress while levels below 15 suggest low volatility nifty atm iv rose to 9 78 indicating very low volatility for nifty options in the near term with an iv change of 5 93 a lower iv suggests that traders expect smaller price movements which usually results in lower option premiums fii and dii trendstoday s update fiis 850 cr diis 1 829 crforeign institutional investors fiis recorded a net outflow of 850 crore today showing a continued selling trend meanwhile domestic institutional investors diis remained strong with a net inflow of 1 829 crore today this brings the total fii outflow for july 2025 to 42 077 crore while diis have recorded a cumulative net inflow of 54 566 crore in july 2025 concept of the dayshort straddleit is a options strategy where a trader sells both a call and a put option with the same strike price and expiration date it profits from low volatility expecting the underlying asset to stay near the strike price the strategy carries unlimited risk if the price moves significantly in either direction strong risk management is necessary scenario and example a short straddle was well suited for today s market conditions as nifty consolidated within a range and hovered near the 24 850 level throughout the day for example with nifty trading around 24 850 a short straddle could involve sell 24 850 put option sell 24 850 call optionthis strategy profits the most if nifty stays close to 24 850 benefiting from time decay and high option premiums chart of the day challengethis trend appeared on the 1d chart of vishal mega mart and the stock is currently trading in it can you identify the name of this chart pattern stay tuned for the answer in tomorrow s edition yesterday s challenge answer falling channel in orient technologiesin this section daily we ll showcase one stock with a pattern formation and discuss it in the next day s edition thank you for reading the groww trading bulletin stay tuned for more updates tomorrow happy trading did you like this trading bulletin yes noteam growwgroww is india s 1 stock broker loved trusted by 1cr active investors 2020 groww invest tech pvt ltdabout us terms conditions privacy policyyou re getting this email because you re a groww user and we believe you deserve great finance content and the latest updates from us however you have the option to unsubscribe here or if you need help we re here for you our registered office address vaishnavi tech park south tower 3rd floor sarjapur main road bellandur bengaluru karnataka 560103 groww is india s no 1 stock broker based on active clients user data as per nse as on 30 november 2024 and is the largest distributor of mutual funds sips refer disclaimer the above mentioned details have been collated prepared by groww invest tech pvt ltd and is meant for sole use by the recipient and not for circulation the information contained in this e mailer has not been prepared with any account specific investment objectives financial situations or needs of any particular investor and is intended for general information purposes only the information published should not be used as a substitute for any form of advisory kindly note that investment in securities markets is subject to market risks read all the related documents carefully before investing the investor is requested to take into consideration all the risk factors before the commencement of trading mutual fund investments are subject to market risks read all scheme related documents carefully past performance of the schemes is neither an indicator nor a guarantee of future performance groww invest tech pvt ltd sebi registration no inz000301838 research analyst no inh200008662 dpi registration no in dp 417 2019 and amfi registration no arn 111686
=?UTF-8?B?R3Jvd3cgRGlnZXN0?= <noreply@digest.groww.in>,How a co. spent way more trying to save money,
"""Facebook Friend Suggestions"" <friendsuggestion@facebookmail.com>",👤 Poonam Sawardekar is a new friend suggestion for you,find more friends hi soham add the people you know to see their photos and updates
Amazon Marketplace <marketplace-messages@amazon.in>,"SOHAM GANGURDE, regarding your recent order at Amazon.in.",dear soham gangurde will you share your experience help the amazon marketplace community by rating your transaction here
Qubo by Hero Group <hello@mail.quboworld.com>,Qubo Get Smart Sale is Live: Don't Miss Out ,dashcams starting at rs 259 if you d like to unsubscribe and stop receiving these emails click here
Refer & Earn | Cuvette <team@cuvette.tech>,Earn Upto Rs. 1 Lakh/Month | Cuvette Referral Program Important update ,earn upto rs 1 lakh month cuvette referral program important update dear soham we are excited to share that many students are earning up to rs 1 lakh month by referring their friends to cuvette here s how it works
Rapido Parcel <hello@updates.rapido.bike>,Celebrating Rakhi apart?,we will make it easier this time
=?UTF-8?B?U3dpZ2d5?= <no-reply@swiggy.in>,It’s our birthdayyyyyyy next week! 🎂,email template
YONO SBI <yonosbi@alerts.sbi.co.in>,Payments made Fast and Super Easy  with YONO Quick Pay,this is a system generated mail so please do not reply to this mail click here to unsubscribe disclaimer state bank never sends e mails and embedded links asking you to update or verify confidential personal and security details if you receive such emails phone calls sms never respond to them and report such matter to the bank at report phishing sbi co in
=?UTF-8?B?U0JJ?= <sbi@communications.sbi.co.in>,Saving Made Effortless — Deposit Digitally with Yono SBI,disclaimer please note on clicking buttons text mentioned above you will be redirected to the related urls links listed below cta text log in now android cta link cta text log in now apple cta link as a precaution measure please ensure that the url shared above and visiting page url should be same con
"""IMDb.com"" <do-not-reply@imdb.com>",See what's streaming in August,imdb streaming guides check out our watch guides for netflix prime video hbo max hulu and disney in august what s on tv and streaming netflix wednesday returns to netflix this month along with old favorites and more new movies and shows see more prime video see all the epic movies and shows hitting prime video this month like butterfly the terminal list dark wolf and season 4 of upload see more hulu from alien earth to the monkey there s a whole lot to love about hulu s streaming offerings this month see more disney freshen up your watchlist with the latest roster of streaming movies and tv shows coming to disney see more hbo max with the return of peacemaker plus a new true crime doc hbo max is delivering some epic premieres this month see more unsubscribe update your email preferences copyright 2024 imdb com all rights reserved 410 terry avenue north seattle wa 98109 5210
Alison <noreply@us-skills.alison.com>,"SOHAM, learn career-transforming skills from top industry experts. 💡",firstname learn career transforming skills from top industry experts featured courses view in web browser share on social explore course categories login to my courses null connect with us on social media no longer want to receive emails from alison simply unsubscribe mount carmel loughrea co galway h62 av62 ireland 2025 alison
=?iso-8859-1?q?BEWAKOOF=AE?= <fashion@offers.bewakoof.com>,Tap fast for ,mad in india sale is live you can reach us at care bewakoof com with all queries if you wish to unsubscribe please click here
Placement Team | Cuvette <team@cuvette.tech>,Congrats Sumit: B.Tech + M.Tech Grad Placed Successfully,congrats sumit b tech m tech grad placed successfully dear soham hope you are doing well sumit a b tech m tech graduate successfully secured a full time job from our placement guarantee course program in full stack development sharing his experience he stated the course is well structured and the mentors are great the placement team was extremely helpful with their support and guidance i was able to crack an amazing job offer listen to sumit on our youtube channel cuvette join our placement guaranteed course program get a job guarantee of ctc upto 25 lpa full stack development with genai placement guarantee course deadline 11 59 pm today data science placement guarantee course deadline 11 59 pm today note please reply to this email if you have any questions from sumit
LinkedIn <jobs-listings@linkedin.com>,Microsoft is hiring a Software Engineering: Internship Opportunities – Brazil,top job picks for you software engineering internship opportunities brazil microsoft s o paulo this company is actively hiring view job
Myprotein <info@n.myprotein.com>,PAYDAY🚨Up,myprotein home our range your goals clothing empowering over 20 million customers worldwide shop now shop now popular categories protein clear whey
Generative AI via LinkedIn <newsletters-noreply@linkedin.com>,GPT-5 launch is expected in August 2025. Here’s everything we know so far,the atlas by generative ai by generative ai read this article on linkedin to join the conversation read on linkedin welcome to atlas we re glad you re here this week we follow intelligence as it leaves the screen and enters the world in today s generative ai newsletter gpt 5 prepares for august release with big architecture gains meta s ai glasses aim to embed superintelligence in daily life nasa s ai astronaut helps coordinate real time iss tasks special highlight from our network ai frenzy could send earnphone soaring the hidden fuel of ai it s already in your pocket every swipe search and scroll creates data powering big tech s next breakthrough they re mining it mode mobile is flipping the script giving the value back to you they are creating a user powered data economy that shares the upside and 50m users have already generated 325m in earnings this isn t a theory mode s 32 481 revenue growth landed them the 1 spot on deloitte s 2023 list of fastest growing companies in software and they ve secured the nasdaq ticker mode ahead of a potential ipo ai breakthroughs are everywhere but these models need your data to survive invest in the company that allows you to share in the profits from yours round closing invest at 0 30 share now disclaimers mode mobile recently received their ticker reservation with nasdaq mode indicating an intent to ipo in the next 24 months an intent to ipo is no guarantee that an actual ipo will occur the deloitte rankings are based on submitted applications and public company database research with winners selected based on their fiscal year revenue growth percentage over a three year period please read the offering circular and related risks at invest modemobile com gpt 5 what we know so far about openai s next gen model according to the information openai s gpt 5 is already in the hands of internal users and the feedback is sharp one tester called it extremely positive with particular praise for its performance in software tasks altman said gpt 5 solved a complex technical problem on the spot during internal testing calling the experience a here it is moment reportedly set to be released in august openai believes the gpt 5 architecture can stretch through gpt 8 and ceo sam altman is already using it behind the scenes how gpt 5 levels up from gpt 4 outperforms past models in code excelling in both algorithmic problem solving and legacy code maintenance adjusts its own reasoning effort scaling computation based on task complexity with potential user level control acts more like a router possibly combining openai s gpt and o model lines to direct queries dynamically reclaims developer mindshare with performance strong enough to challenge claude sonnet 4 and push back against anthropic tools like cursor openai is planning to release its first open weight model since 2019 ahead of the launch of gpt 5 the company is also preparing sora 2 an upgraded video language model which is expected to be released alongside gpt 5 here s a timeline of the major gpt releases gpt 1 june 2018 the original model with 117m parameters gpt 2 feb 2019 jumped to 1 5b parameters sparking concerns over misuse gpt 3 june 2020 leaped to 175b parameters enabling few shot learning gpt 3 5 nov 2022 improved instruction following and factual accuracy gpt 4 mar 2023 introduced multimodal input with text and image support gpt 4 turbo nov 2023 enhanced speed efficiency and context length gpt 4o may 2024 added full multimodal support across text image audio and video instead of the expected gpt 5 an openai timeline shown at the vivatech conference replaced it with gpt next suggesting the company is moving away from its familiar numbered naming system if earlier versions were clever interns this one s dangerously close to middle management when it lands you might not be typing prompts you ll be assigning work nasa tests ai crew support for long term missions there s a new member on the international space station and it doesn t eat sleep or need a space suit cimon a floating ai assistant built by airbus and ibm is now helping astronauts with lab tasks camera operations and autonomous decision making roughly the size of a bowling ball cimon looks more like sci fi than real life but it s already supporting real missions speaking and responding to crew members with voice commands and facial recognition this week jaxa astronaut takuya onishi tested cimon s ability to coordinate with a free floating robotic camera using only spoken commands to locate an object in japan s kibo module the experiment is part of japan s ichiban project which explores whether ai systems can relieve astronauts of routine burdens like system checks and documentation giving them more time for hands on science nasa is observing how cimon interprets instructions navigates space and interacts with other robots in real time the long term aim is to develop ai systems that can act as copilots for missions far from earth where communication delays and psychological strain pose real risks from managing repairs to offering conversational support during months of isolation these floating assistants could become mission critical crew members on trips to mars lunar bases and beyond if humanity is going interstellar it won t be alone machines like cimon are earning their seat aboard the ship meta wants to put personal superintelligence in your pocket in a wednesday letter mark zuckerberg made it official meta is going all in on personal superintelligence these systems will live inside ar glasses and headsets watching the world unfold from your point of view and quietly shaping your actions in response the company has set up meta superintelligence labs a new division formed after a 14 3b investment into scale ai internal development has now shifted work on llama behemoth has been paused and meta is focusing instead on product native models built for real world environments the language around open source has changed too zuckerberg cited novel safety concerns and introduced the possibility of stricter release controls going forward these models will operate through meta hardware that tracks user context in real time the glasses are built to recognize physical spaces interpret attention and respond immediately safety in meta s new playbook means containment through design rather than openness through code it s intelligence that moves with you studies you adapts to you once it enters your line of sight it stays there the most powerful model may not be in the cloud or the lab it may be the one watching you reach for your morning coffee already preparing what comes next neuralink user writes her name for the first time in 20 years audrey crews spent the last twenty years unable to move or speak at 16 a sudden medical event left her paralyzed today she s writing her name again without lifting a finger neuralink s latest brain computer interface the n1 implant has turned her thoughts into action crews now controls a computer with pure intention moving a cursor typing responses even drawing images all by thinking them into existence the procedure was conducted at the university of miami where surgeons embedded 128 flexible threads into the motor cortex of her brain each thread records neural activity that is then translated by ai into commands a computer can understand the device itself is the size of a coin and fully wireless designed for everyday use without physical strain crews has started posting online again her replies are drawn her doodles are intentional her screen is alive every line she creates is made through thought alone the technology may be early but its meaning is immediate this is the end of the line the system updates next week we will be observing the body become wired in funding lines blur and open weights shift keep reading on linkedin
Alison <noreply@us-education.alison.com>,"SOHAM, here’s how to stay fit (without just hitting the gym). 💪",firstname here s how to stay fit without just hitting the gym learn how to stay the healthiest ever view in web browser share on social explore course categories login to my courses null connect with us on social media no longer want to receive emails from alison simply unsubscribe mount carmel loughrea co galway h62 av62 ireland 2025 alison
Vic from Visme <updates@visme.co>,🌪️ The Traditional Marketing Funnel Is Dead. Here's What Replaced It.,
=?UTF-8?B?R3Jvd3cgRGlnZXN0?= <noreply@digest.groww.in>,"ISRO-NASA launch NISAR, GNG Electronics 50% listing gain, & more - Groww Digest",
"""Builder.io Team"" <hello@builder.io>","You're invited! Livestream: AI-powered Figma to Storybook in
 minutes",discover how to use ai to generate and update storybook components from figma designs in minutes hi soham join us for a live session on wednesday august 6th at 10am pst to learn how to use ai to instantly sync your figma designs with storybook whether you re scaling a design system or keeping up with frequent design changes this livestream will show you how
LinkedIn <updates-noreply@linkedin.com>,"Sahil Solse reacted to this post: 🌻Change can be scary, but…",sahil solse reacted to this nishita thakkar like praise empathy 101 33 comments sahil solsecommented a post congrats nishita like 1 1 reply read more ismail malekji shared a post internships at iits nits the harsh reality nobody talks about when we hear iit nit internship it sounds like a golden ticket but the truth like empathy appreciation 129 8 comments read more himanshu singour shared a post sde 1 learning phase
LinkedIn <notifications-noreply@linkedin.com>,"Rohan Jadhav Has An Update for You, SOHAM GANGURDE",rohan jadhav commented on srushti mhatre s post keep shining srushti see post you appeared in 6 searches this week you were found by people from these companies see all searches atharv mukadam and others start their day with a win on our daily zip puzzle join in solve now iete institution of electronics and telecommunication engineers vit mumbai has gained 1 follower this week see followers
"""Coursera"" <Coursera@m.learn.coursera.org>",Flex your degree to fit your life: Marc’s CU Boulder story,ever tried studying while swimming see how flexible a degree on coursera can be body table td th h1 h2 h3 div span strong b i p ul ol li a font family helvetica sans serif important sup font size 100 important nudge component icon column padding left 12px important padding right 32px important nudge component text column padding bottom 32px important padding right 12px important mobile only display none important 96 coursera learner marc
Internshala Trainings <trainings@updates.internshala.com>,Update: You have won this placement,internshala scholiverse educare pvt ltd 901a and 901b iris tech park sector 48 sohna road gurugramdon t want learning opportunities delivered to your inbox unsubscribeif you d like to unsubscribe and stop receiving these emails click here
Internshala Jobs <student@mail.internshala.com>,Update: You are shortlisted for this session,internshala fresher jobs webinar 2025tap here to know the details hi soham freshers rarely get a chance to learn directly from the people who hire them this webinar is one of those rare opportunities join tanmoy majumder cluster head hr at flipkart as he shares insider hiring secrets and answers your career questions live our exclusive webinar on how to get your first job in supply chain e commerce is happening on 1st august at 5 00 pm register now and get ready to learn exactly what flipkart looks for in freshers during hiring resume and interview hacks to stand out in e commerce jobs how to avoid common mistakes that cost freshers their first job actionable steps to break into supply chain ops roles live q a to get your career doubts answered by flipkart s hr head last 2 days left to register click here or on the button below to register right away and save your spot register now having trouble reading this email view it in your browser you are receiving this email as a member of internshala comcommunity our address scholiverse educare pr vate limited 901 a b iris tech park sector 48 sohna road gurgaon india 122018unsubscribe me from this list if you d like to unsubscribe and stop receiving these emails click here
=?UTF-8?B?R3Jvd3c=?= <noreply@groww.in>,A new IPO is live: Sri Lotus Developers,
Job Opening | Cuvette <team@cuvette.tech>,Accenture | Lexmark | United Jobs Important Update,accenture lexmark united jobs important update dear student we have carefully created a list of companies that are actively hiring for freshers in off campus mode these opportunities are from the official career pages of companies like lexmark united airlines mastercard etc from 4 16 lpa accenture analytics and modeling associate bengaluru data analysis advance excel jobs apply links join our fullstack development with genai placement guarantee deadline 11 pm today
Uber <uber@uber.com>,Rides you (and your wallet) will love,find price friendly options with uber affordable trip options are a tap away there s no maths or surprises with our upfront fares select where to in the app then enter your pick up and drop off locations to see your price plan your next trip your travel your way discover new ways to travel with uber check out the range of options available in the app try now uberxl need room for an extra friend or luggage travel with uberxl request a trip green eco friendly request a trip green eco friendly request a trip reserve feel at ease arrange your trip in advance request a trip reserve feel at ease arrange your trip in advance request a trip certain products and features are not available in all markets check your uber app for the latest availability help centre terms unsubscribe privacy email preferences images or text may have been created or edited with ai uber india systems private limitedsco 300 sector 29 gurgaon haryana uber com
Saubhagya Peethambaran <saubhagyap77@gmail.com>,Not at all worth it,he should go to hell vey bad review not at all nice product quality is not good
Saubhagya Peethambaran <saubhagyap77@gmail.com>,Very very irritating person,people like him should not exist
Saubhagya Peethambaran <saubhagyap77@gmail.com>,Very bad reviews,hate the behaviour and attitude
Google <no-reply@accounts.google.com>,Security alert,image google app password created to sign in to your account sohamgangurde2004 gmail com if you didn t generate this password for hybrid sentiment someone else might be using your account check and secure your account now check activity you can also see security activity at you received this email to let you know about important changes to your google account and services 2025 google llc 1600 amphitheatre parkway mountain view ca 94043 usa
Placement Team | Cuvette <team@cuvette.tech>,Data Science | Congrats Madan - 2025 Grad Placed,data science congrats madan 2025 grad placed dear soham
"""Adobe Acrobat"" <mail@mail.adobe.com>",Easily share PDFs for review 👥,view web version unfortunately your email client cannot display html or your settings are turned off to view this email please click or copy and paste the link above into your browser this is a marketing email from adobe systems software ireland limited 4 6 riverwalk citywest business park dublin 24 ireland click on the following link to unsubscribe or send us an unsubscribe request to the postal address above unsubscribe please review the adobe privacy policy to ensure future delivery of email please add mail mail adobe com to your address book contacts or safe senders list please do not reply to this message to contact adobe find options online
=?UTF-8?B?R3Jvd3c=?= <noreply@groww.in>,July market snapshot — all in one place,
Apple <News@InsideApple.Apple.com>,"💻 Limited time: Save on Mac and iPad, get AirPods or an accessory.",get airpods or an eligible accessory of your choice when you buy mac or ipad with education savings mac or ipad two right answers buy either one for college and get airpods or an eligible accessory of your choice 1 powerful portable durable all of the above shop the power go to your head with all day battery powered by m4 mac is the ultimate tool for learning macbook air from 8156 00 mo for 12 mo or 89900 00 with education savings buy macbook pro from 14507 00 mo for 12 mo or 159900 00 with education savings buy noteworthy campus companion ipad goes where your studies take you with incredible performance across millions of apps free engraving ipad air from 4981 00 mo for 12 mo or 54900 00 with education savings buy free engraving ipad pro from 8156 00 mo for 12 mo or 89900 00 with education savings buy one to one with aspecialist online or in a store make the ultimate study group shop college essentials mac or ipad two right answers buy either one for college and get airpods or an eligible accessory of your choice 1 powerful portable durable all of the above shop the power go to your head with all day battery powered by m4 mac is the ultimate tool for learning macbook air from 8156 00 mo for 12 mo or 89900 00 with education savings buy macbook pro from 14507 00 mo for 12 mo or 159900 00 with education savings buy noteworthy campus companion ipad goes where your studies take you with incredible performance across millions of apps free engraving ipad air from 4981 00 mo for 12 mo or 54900 00 with education savings buy free engraving ipad pro from 8156 00 mo for 12 mo or 89900 00 with education savings buy one to one with aspecialist online or in a store the ultimate study group shop college essentials online a store 040 1966 get the apple store app listed pricing is maximum retail price inclusive of all taxes monthly pricing is after purchase using emi with qualifying cards at 15 99 p a over a 12 month tenure monthly pricing is rounded to the nearest rupee exact pricing will be provided by your card issuer subject to your card issuer s terms and conditions representative example a purchase of 79900 00 repaid over 12 months with an interest rate of 15 99 p a requires monthly payments of 7249 00 total amount payable 86988 00 total interest paid to bank 7088 00 1 qualified purchasers can receive promotion savings when they purchase an eligible mac or ipad with their choice of a promotion product at a qualifying location customers will be charged for all items in their cart including the promotion product only one promotion product can be obtained per eligible mac or ipad per qualified purchaser the offer is subject to availability while supplies last view full offer terms tm and 2025 apple inc all rights reserved apple india private limited 13th floor prestige minsk square municipal no 6 cubbon road bengaluru karnataka 560 001 india cin u30007ka1996ptc019630 telephone 91 80 4045 5181 email india support apple com india support apple com website privacy policy apple account if you do not want commercial emails from apple or have changed your email address you can unsubscribe
Groww Trading Bulletin <noreply@groww.in>,"Nifty sees recovery, ATM IV down 10% & more  — Groww Trading Bulletin",soham manojkumar gangurde your daily trading newsletter is here groww trading bulletin29 july 2025nifty 5024 821 10 140 20 1 day 15 min timeframenifty opened with a slight gap down of around 40 pointsit fell for a brief period and took support near 24 600 levels it gained after that till 10 am but faced some resistance near 24 730 levels and fell the fall continued for the next 1h and it again took support near the same levels nifty started rising after this in a higher high and higher low pattern around 2 30 pm it faced resistance near 24 829 levels shared yesterday it fell and then eventually it closed near these levels only key levels to watch for tomo 24 737 downside 24 888 upside 4 hrs timeframeon the 4 hour timeframe nifty saw a drift recovery from the levels we mentioned yesterday while this still doesn t mean that it is in a bullish territory it still looks weak a close above 24 959 is necessary for some short term upside movement and the structure will only be better if nifty trades above 25 210 while on the downside 24 539 is very important global markets s p 500 closed flat as investors digested mixed earnings reports and awaited further economic data inflation concerns were offset by strong corporate results keeping the market largely unchanged nikkei 225 fell today pressured by a stronger yen and profit taking after recent gains the index had hit a record high earlier in the week but investors opted to lock in profits kospi was flat today as gains in semiconductor stocks were offset by weakness in other sectors leading to a muted session hang seng fell slightly today pressured by ongoing policy concerns and weakness in some chinese tech stocks dax rose today buoyed by positive earnings reports and improving investor sentiment amid easing trade tensions options data insightsnifty 50strong support at 24 700 a substantial buildup of put open interest at the 24 700 strike suggests this level is acting as a key support resistance at 24 900 heavy call open interest accumulation at the 24 900 strike indicates strong resistance with sellers likely to defend this zone unless strong momentum breaks through rangebound near 24 850 with both call and put oi nearly balanced at the 24 850 level nifty may trade sideways around this zone unless a breakout is triggered on either side pcr at 0 71 the put call ratio of 0 71 signals a bearish bias call writing remains dominant at higher strikes indicating limited upside expectations in the near term usually a put call ratio of 1 is neutral 0 5 suggests an oversold market and 1 5 indicates an overbought market india vix and nifty volatilityindia vix fell to 11 53 reflecting a 4 39 dip suggesting very low short term volatility historically india vix ranges between 12 and 25 levels above 20 indicate higher volatility and market stress while levels below 15 suggest low volatility nifty atm iv dipped to 9 82 indicating very low volatility for nifty options in the near term with an iv change of 7 20 a lower iv suggests that traders expect smaller price movements which usually results in lower option premiums fii and dii trendstoday s update fiis 4 636 cr diis 6 146 crforeign institutional investors fiis extended their selling pressure with a significant net outflow of 4 636 crore on july 29 2025 this drags the total fii outflow for july to 41 227 crore indicating persistent foreign weakness despite nifty s positive momentum in contrast domestic institutional investors diis continued their strong buying activity recording a robust net inflow of 6 146 crore today with this monthly dii inflows now stand at 52 737 crore offering solid support to the markets and reflecting strong domestic conviction amid global uncertainty concept of the daybull call spreadit is a options strategy used when a trader expects a moderate rise in the price of the underlying asset while limiting risk it involves buying a lower strike call option and simultaneously selling a higher strike call option with the same expiration date the goal of this strategy is to profit from a controlled upside movement while reducing cost compared to buying a single call option scenario and example a bull call spread was well suited for today s market conditions as nifty saw some upside movement for example with nifty trading around at 24 600 a bull call spread could involve buy 24 600 call option sell 24 800 call optionthis strategy profits if nifty sees some upside while keeping the risk limited making it an effective way to trade a moderate uptrend chart of the day challengethis pattern appeared on the 1d chart of orient technologiescan you identify the name of this chart pattern stay tuned for the answer in tomorrow s edition yesterday s challenge answer double top in diana tea co in this section daily we ll showcase one stock with a pattern formation and discuss it in the next day s edition thank you for reading the groww trading bulletin stay tuned for more updates tomorrow happy trading did you like this trading bulletin yes noteam growwgroww is india s 1 stock broker loved trusted by 1cr active investors 2020 groww invest tech pvt ltdabout us terms conditions privacy policyyou re getting this email because you re a groww user and we believe you deserve great finance content and the latest updates from us however you have the option to unsubscribe here or if you need help we re here for you our registered office address vaishnavi tech park south tower 3rd floor sarjapur main road bellandur bengaluru karnataka 560103 groww is india s no 1 stock broker based on active clients user data as per nse as on 30 november 2024 and is the largest distributor of mutual funds sips refer disclaimer the above mentioned details have been collated prepared by groww invest tech pvt ltd and is meant for sole use by the recipient and not for circulation the information contained in this e mailer has not been prepared with any account specific investment objectives financial situations or needs of any particular investor and is intended for general information purposes only the information published should not be used as a substitute for any form of advisory kindly note that investment in securities markets is subject to market risks read all the related documents carefully before investing the investor is requested to take into consideration all the risk factors before the commencement of trading mutual fund investments are subject to market risks read all scheme related documents carefully past performance of the schemes is neither an indicator nor a guarantee of future performance groww invest tech pvt ltd sebi registration no inz000301838 research analyst no inh200008662 dpi registration no in dp 417 2019 and amfi registration no arn 111686
Google <no-reply@accounts.google.com>,Security alert for sohamget22@gmail.com,this is a copy of a security alert sent to sohamget22 gmail com sohamgangurde2004 gmail com is the recovery email for this account if you don t recognize this account remove it image google app password created to sign in to your account sohamget22 gmail com if you didn t generate this password for sentiment someone might be using your account check and secure your account now check activity you can also see security activity at you received this email to let you know about important changes to your google account and services 2025 google llc 1600 amphitheatre parkway mountain view ca 94043 usa
Google <no-reply@accounts.google.com>,Your Google Account was recovered successfully,this is a copy of a security alert sent to sohamget22 gmail com sohamgangurde2004 gmail com is the recovery email for this account if you don t recognize this account remove it image google account recovered successfully sohamget22 gmail com welcome back to your accountif you suspect you were locked out of your account because of changes made by someone else you should review protect your account you received this email to let you know about important changes to your google account and services 2025 google llc 1600 amphitheatre parkway mountain view ca 94043 usa
Google <noreply@google.com>,Google Verification Code,google verification code hi soham we received a request to access your google account sohamget22 gmail com through your email address your google verification code is 812120 if you did not request this code it is possible that someone else is trying to access the google account sohamget22 gmail com do not forward or give this code to anyone you received this message because this email address is listed as the recovery email for the google account sohamget22 gmail com if that is incorrect please click here to remove your email address from that google account
=?UTF-8?B?R3Jvd3cgRGlnZXN0?= <noreply@digest.groww.in>,"Lenskart IPO, L&T's Rs 15,000 crore order, & more - Groww Digest",
Google <no-reply@accounts.google.com>,Security alert for sohamget22@gmail.com,this is a copy of a security alert sent to sohamget22 gmail com sohamgangurde2004 gmail com is the recovery email for this account if you don t recognize this account remove it image google 2 step verification turned on sohamget22 gmail com your google account sohamget22 gmail com is now protected with 2 step verification when you sign in on a new or untrusted device you ll need your second factor to verify your identity don t get locked out you can add a backup phone or get backup codes to use when you don t have your second factor with you you can review your 2sv settings to make changes you can also see security activity at you received this email to let you know about important changes to your google account and services 2025 google llc 1600 amphitheatre parkway mountain view ca 94043 usa
AI Shots Team <aishotsclub@mail.beehiiv.com>,Tuesday Tidbits: ,view image caption
LinkedIn <messages-noreply@linkedin.com>,"Check out what you missed from IETE- Institution of Electronics and
 Telecommunication Engineers | VIT MUMBAI last week",weekly page analytics for iete institution of electronics and telecommunication engineers vit mumbai view my page
Myprotein <info@n.myprotein.com>,EXTRA 15% OFF Value Bags ,plus extra 5 on your first order myprotein home our range your goals clothing empowering over 20 million customers worldwide shop now shop iwp shop iwp shop iwi 25 45 off everything shops vitamins popular categories protein clear whey
Unacademy <team@info.unacademy.com>,"₹5,499 mein full IIT JEE prep – sirf 31st July tak!",live recorded lectures test series doubt solving sab milega ek hi plan mein sorting hat technologies private limited 5th floor maruti infotech centre koramangala inner ring road bengaluru 560071 karnataka india copyright 2025 all rights reserved to stop receiving these mails unsubscribe
john.doe@example.com,issue with late delivery,hi team my order arrived 5 days late and the package was damaged please improve your delivery service
sarah.kim@example.com,love the new product,just wanted to say the new smartwatch is amazing battery lasts long and the design is beautiful
mike.jones@example.com,suggestion for website,please add a dark mode option for the website it will be easier to browse at night
emma.wilson@example.com,request for refund,i received the wrong item and want to request a refund order id 12345
